"specimen","picture_number","link_path"
"H. grypus_1",1857,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1857.JPG"
"H. grypus_1",1856,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1856.JPG"
"H. grypus_1",1858,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1858.JPG"
"H. grypus_1",1859,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_1\IMG_1859.JPG"
"H. grypus_2",1880,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_2\IMG_1880.JPG"
"H. grypus_2",1881,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_2\IMG_1881.JPG"
"H. grypus_2",1879,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_2\IMG_1879.JPG"
"H. grypus_2",1878,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_2\IMG_1878.JPG"
"H. grypus_2",1882,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_2\IMG_1882.JPG"
"H. grypus_2",1883,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_2\IMG_1883.JPG"
"H. grypus_2",1884,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_2\IMG_1884.JPG"
"H. grypus_3",1885,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1885.JPG"
"H. grypus_3",1887,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1887.JPG"
"H. grypus_3",1888,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1888.JPG"
"H. grypus_3",1889,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1889.JPG"
"H. grypus_3",1896,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1896.JPG"
"H. grypus_3",1897,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1897.JPG"
"H. grypus_3",1898,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1898.JPG"
"H. grypus_3",1899,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1899.JPG"
"H. grypus_3",1892,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1892.JPG"
"H. grypus_3",1890,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1890.JPG"
"H. grypus_3",1891,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1891.JPG"
"H. grypus_3",1895,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1895.JPG"
"H. grypus_3",1893,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1893.JPG"
"H. grypus_3",1894,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_3\IMG_1894.JPG"
"H. grypus_4-1",1900,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1900.JPG"
"H. grypus_4-1",1901,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1901.JPG"
"H. grypus_4-2",1902,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1902.JPG"
"H. grypus_4-2",1903,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1903.JPG"
"H. grypus_4-3",1905,"C:\Program Files\PostgreSQL\16\data\Pinniped bones\H. grypus_4\IMG_1905.JPG"
